Period 	 T100 	 T0 
60 	 3.740000 	 2.747000 
Point Number 	 Temperature 
0 	 51.598245 
 1 	 51.632947 
 2 	 52.032010 
 3 	 51.650297 
 4 	 51.893205 
 5 	 51.632947 
 6 	 51.632947 
 7 	 52.014660 
 8 	 51.702349 
 9 	 52.032010 
 10 	 52.101413 
 11 	 51.684998 
 12 	 51.684998 
 13 	 51.719700 
 14 	 51.684998 
 15 	 52.032010 
 16 	 51.702349 
 17 	 51.719700 
 18 	 52.014660 
 19 	 51.684998 
 20 	 51.684998 
 21 	 51.737050 
 22 	 51.719700 
 23 	 51.719700 
 24 	 51.702349 
 25 	 51.719700 
 26 	 51.737050 
 27 	 51.737050 
 28 	 52.066711 
 29 	 52.170815 
 30 	 52.049361 
 31 	 52.101413 
 32 	 52.049361 
 33 	 51.771751 
 34 	 51.771751 
 35 	 52.084062 
 36 	 51.754401 
 37 	 51.737050 
 38 	 52.205516 
 39 	 51.754401 
 40 	 52.136114 
 41 	 51.719700 
 42 	 51.771751 
 43 	 51.719700 
 44 	 51.719700 
 45 	 52.084062 
 46 	 51.754401 
 47 	 51.754401 
 48 	 52.188166 
 49 	 52.222867 
 50 	 52.274919 
 51 	 51.789102 
 52 	 51.806453 
 53 	 51.789102 
 54 	 52.170815 
 55 	 51.806453 
 56 	 52.188166 
 57 	 52.136114 
 58 	 52.153464 
 59 	 52.326970 
 60 	 52.136114 
 61 	 51.789102 
 62 	 51.823803 
 63 	 52.205516 
 64 	 51.875855 
 65 	 52.205516 
 66 	 52.170815 
 67 	 52.188166 
 68 	 52.257568 
 69 	 52.222867 
 70 	 51.875855 
 71 	 52.205516 
 72 	 52.205516 
 73 	 52.205516 
 74 	 51.875855 
 75 	 51.841154 
 76 	 51.893205 
 77 	 51.858504 
 78 	 52.274919 
 79 	 51.875855 
 80 	 52.292269 
 81 	 51.858504 
 82 	 51.893205 
 83 	 52.222867 
 84 	 52.274919 
 85 	 51.910556 
 86 	 52.188166 
 87 	 52.136114 
 88 	 52.292269 
 89 	 52.309620 
 90 	 52.274919 
 91 	 52.240217 
 92 	 52.222867 
 93 	 51.910556 
 94 	 52.257568 
 95 	 52.240217 
 96 	 52.240217 
 97 	 52.309620 
 98 	 52.309620 
 99 	 52.222867 
 100 	 51.893205 
 101 	 51.910556 
 102 	 51.910556 
 103 	 51.927907 
 104 	 52.292269 
 105 	 52.274919 
 106 	 51.893205 
 107 	 52.309620 
 108 	 51.910556 
 109 	 51.910556 
 110 	 52.257568 
 111 	 51.927907 
 112 	 51.945257 
 113 	 52.309620 
 114 	 52.240217 
 115 	 52.257568 
 116 	 51.927907 
 117 	 52.292269 
 118 	 51.945257 
 119 	 52.257568 
 120 	 51.962608 
 121 	 51.945257 
 122 	 52.344321 
 123 	 51.927907 
 124 	 51.945257 
 125 	 51.927907 
 126 	 51.962608 
 127 	 52.361672 
 128 	 52.274919 
 129 	 51.962608 
 130 	 51.945257 
 131 	 52.465775 
 132 	 51.927907 
 133 	 52.361672 
 134 	 51.910556 
 135 	 51.927907 
 136 	 52.326970 
 137 	 52.292269 
 138 	 52.274919 
 139 	 52.240217 
 140 	 51.945257 
 141 	 51.962608 
 142 	 51.945257 
 143 	 51.945257 
 144 	 52.240217 
 145 	 51.927907 
 146 	 51.945257 
 147 	 52.326970 
 148 	 52.309620 
 149 	 51.945257 
 150 	 52.326970 
 151 	 51.962608 
 152 	 52.205516 
 153 	 52.326970 
 154 	 52.344321 
 155 	 52.309620 
 156 	 51.945257 
 157 	 52.274919 
 158 	 51.962608 
 159 	 52.326970 
 160 	 52.274919 
 161 	 51.927907 
 162 	 52.344321 
 163 	 52.361672 
 164 	 51.910556 
 165 	 52.309620 
 166 	 51.927907 
 167 	 52.326970 
 168 	 52.344321 
 169 	 51.910556 
 170 	 51.927907 
 171 	 51.962608 
 172 	 51.927907 
 173 	 51.910556 
 174 	 52.292269 
 175 	 52.292269 
 176 	 51.962608 
 177 	 51.927907 
 178 	 51.927907 
 179 	 51.927907 
 180 	 52.274919 
 181 	 52.274919 
 182 	 52.257568 
 183 	 51.910556 
 184 	 51.910556 
 185 	 52.188166 
 186 	 52.222867 
 187 	 51.910556 
 188 	 51.910556 
 189 	 52.292269 
 190 	 52.361672 
 191 	 52.257568 
