Period 	 T100 	 T0 
240 	 3.740000 	 2.747000 
Point Number 	 Temperature 
0 	 51.442090 
 1 	 51.407389 
 2 	 51.390038 
 3 	 51.667648 
 4 	 51.303285 
 5 	 51.684998 
 6 	 51.650297 
 7 	 51.268584 
 8 	 51.546194 
 9 	 51.216532 
 10 	 51.563544 
 11 	 51.598245 
 12 	 51.580895 
 13 	 51.112429 
 14 	 51.476791 
 15 	 51.407389 
 16 	 51.043026 
 17 	 51.424739 
 18 	 51.008325 
 19 	 51.355337 
 20 	 50.973624 
 21 	 50.956273 
 22 	 50.869521 
 23 	 51.268584 
 24 	 51.320636 
 25 	 50.852170 
 26 	 51.285935 
 27 	 50.817469 
 28 	 50.800118 
 29 	 51.147130 
 30 	 51.164481 
 31 	 50.713365 
 32 	 51.112429 
 33 	 50.696015 
 34 	 51.112429 
 35 	 50.661313 
 36 	 50.990975 
 37 	 50.609262 
 38 	 50.591911 
 39 	 50.904222 
 40 	 50.557210 
 41 	 50.505158 
 42 	 50.487808 
 43 	 50.505158 
 44 	 50.834819 
 45 	 50.401055 
 46 	 50.401055 
 47 	 50.366353 
 48 	 50.696015 
 49 	 50.713365 
 50 	 50.591911 
 51 	 50.713365 
 52 	 50.262250 
 53 	 50.262250 
 54 	 50.661313 
 55 	 50.210198 
 56 	 50.557210 
 57 	 50.158146 
 58 	 50.123445 
 59 	 50.123445 
 60 	 50.453106 
 61 	 50.435756 
 62 	 50.470457 
 63 	 50.054043 
 64 	 50.019342 
 65 	 50.001991 
 66 	 50.279600 
 67 	 49.915238 
 68 	 50.244899 
 69 	 49.863186 
 70 	 49.845836 
 71 	 49.863186 
 72 	 49.811135 
 73 	 50.140796 
 74 	 49.776433 
 75 	 49.949939 
 76 	 50.001991 
 77 	 49.724382 
 78 	 49.637629 
 79 	 49.637629 
 80 	 49.637629 
 81 	 50.019342 
 82 	 49.949939 
 83 	 49.516175 
 84 	 49.516175 
 85 	 49.516175 
 86 	 49.464123 
 87 	 49.446772 
 88 	 49.429422 
 89 	 49.828485 
 90 	 49.377370 
