Period 	 T100 	 T0 
360 	 3.740000 	 2.747000 
Point Number 	 Temperature 
 287 	 62.112711 
 288 	 62.234165 
 289 	 61.730998 
 290 	 62.112711 
 291 	 62.025958 
 292 	 62.112711 
 293 	 62.060659 
 294 	 61.817751 
 295 	 61.783049 
 296 	 62.112711 
 297 	 61.835101 
 298 	 62.199464 
 299 	 61.852452 
 300 	 61.904504 
 301 	 62.372970 
 302 	 61.921854 
 303 	 62.286217 
 304 	 62.320918 
 305 	 61.991257 
 306 	 62.372970 
 307 	 62.338269 
 308 	 62.459723 
 309 	 62.008607 
 310 	 62.477074 
 311 	 62.078010 
 312 	 62.407672 
 313 	 62.147412 
 314 	 62.563827 
 315 	 62.529126 
 316 	 62.147412 
 317 	 62.563827 
 318 	 62.182114 
 319 	 62.511775 
 320 	 62.667931 
 321 	 62.251516 
 322 	 62.546476 
 323 	 62.286217 
 324 	 62.286217 
 325 	 62.320918 
 326 	 62.355620 
 327 	 62.355620 
 328 	 62.372970 
 329 	 62.355620 
 330 	 62.390321 
 331 	 62.425022 
 332 	 62.893489 
 333 	 62.459723 
 334 	 62.858788 
 335 	 62.789385 
 336 	 62.754684 
 337 	 62.494425 
 338 	 62.529126 
 339 	 62.546476 
 340 	 62.529126 
 341 	 62.598528 
 342 	 63.032294 
 343 	 62.563827 
 344 	 62.598528 
 345 	 62.615879 
 346 	 62.633230 
 347 	 62.650580 
 348 	 62.685281 
 349 	 62.667931 
 350 	 62.702632 
 351 	 63.119047 
 352 	 63.066995 
 353 	 62.754684 
 354 	 62.789385 
 355 	 62.772034 
 356 	 62.772034 
 357 	 63.101696 
 358 	 63.257852 
 359 	 63.153748 
 360 	 63.240501 
 361 	 62.858788 
 362 	 63.188449 
 363 	 63.275202 
 364 	 63.292553 
 365 	 62.928190 
 366 	 62.962891 
 367 	 62.928190 
 368 	 62.945541 
 369 	 62.980242 
 370 	 62.980242 
 371 	 63.379306 
 372 	 62.997592 
 373 	 63.014943 
 374 	 63.240501 
 375 	 63.066995 
 376 	 63.396657 
 377 	 63.084346 
 378 	 63.466059 
 379 	 63.101696 
 380 	 63.500760 
 381 	 63.587513 
 382 	 63.171099 
 383 	 63.171099 
 384 	 63.604864 
 385 	 63.518111 
 386 	 63.552812 
 387 	 63.639565 
 388 	 63.570163 
 389 	 63.257852 
 390 	 63.656916 
 391 	 63.292553 
 392 	 63.674267 
 393 	 63.622215 
 394 	 63.708968 
 395 	 63.708968 
 396 	 63.726318 
 397 	 63.344605 
 398 	 63.327254 
 399 	 63.587513 
 400 	 63.674267 
 401 	 63.743669 
 402 	 63.414007 
 403 	 63.414007 
 404 	 63.448708 
 405 	 63.882474 
 406 	 63.431358 
 407 	 63.847773 
 408 	 63.483410 
 409 	 63.483410 
 410 	 63.535462 
 411 	 63.865123 
 412 	 63.830422 
 413 	 63.535462 
 414 	 63.535462 
 415 	 63.570163 
 416 	 63.535462 
 417 	 63.570163 
 418 	 63.535462 
 419 	 63.604864 
 420 	 63.552812 
 421 	 63.986578 
 422 	 63.917175 
 423 	 63.969227 
 424 	 64.003928 
 425 	 63.708968 
 426 	 64.021279 
 427 	 64.108032 
 428 	 64.160084 
 429 	 63.708968 
 430 	 63.708968 
 431 	 63.761020 
 432 	 64.142733 
 433 	 63.743669 
 434 	 63.743669 
 435 	 64.073331 
 436 	 63.917175 
 437 	 63.761020 
 438 	 63.778370 
 439 	 63.795721 
 440 	 64.160084 
 441 	 63.830422 
 442 	 64.142733 
 443 	 63.830422 
 444 	 63.813071 
 445 	 64.142733 
 446 	 64.246837 
 447 	 64.160084 
 448 	 63.830422 
 449 	 64.160084 
 450 	 63.865123 
 451 	 63.882474 
 452 	 64.298889 
 453 	 64.281538 
 454 	 64.316239 
 455 	 63.882474 
 456 	 63.899825 
 457 	 64.298889 
 458 	 63.899825 
 459 	 64.316239 
 460 	 63.934526 
 461 	 64.298889 
 462 	 63.951876 
 463 	 63.986578 
 464 	 63.969227 
 465 	 64.281538 
 466 	 63.969227 
 467 	 64.298889 
 468 	 64.298889 
 469 	 63.986578 
 470 	 64.350941 
 471 	 64.350941 
 472 	 64.350941 
 473 	 64.281538 
 474 	 64.038629 
 475 	 64.038629 
 476 	 64.333590 
 477 	 64.420343 
 478 	 64.420343 
 479 	 64.420343 
 480 	 64.402992 
 481 	 64.055980 
 482 	 64.073331 
 483 	 64.073331 
 484 	 64.038629 
 485 	 64.073331 
 486 	 64.055980 
 487 	 64.108032 
 488 	 64.108032 
 489 	 64.090681 
 490 	 64.125383 
 491 	 64.090681 
 492 	 64.090681 
 493 	 64.350941 
 494 	 64.472395 
 495 	 64.507096 
 496 	 64.108032 
 497 	 64.090681 
 498 	 64.108032 
 499 	 64.090681 
 500 	 64.108032 
 501 	 64.524447 
 502 	 64.489746 
 503 	 64.160084 
 504 	 64.142733 
 505 	 64.472395 
 506 	 64.177434 
 507 	 64.507096 
 508 	 64.125383 
 509 	 64.160084 
 510 	 64.142733 
 511 	 64.559148 
 512 	 64.489746 
 513 	 64.177434 
 514 	 64.194785 
 515 	 64.507096 
 516 	 64.559148 
 517 	 64.160084 
 518 	 64.194785 
 519 	 64.194785 
 520 	 64.212136 
 521 	 64.194785 
 522 	 64.576499 
 523 	 64.507096 
 524 	 64.576499 
 525 	 64.229486 
 526 	 64.194785 
 527 	 64.246837 
 528 	 64.645901 
 529 	 64.194785 
 530 	 64.194785 
 531 	 64.229486 
 532 	 64.246837 
 533 	 64.212136 
 534 	 64.246837 
 535 	 64.212136 
 536 	 64.541797 
 537 	 64.663252 
 538 	 64.559148 
 539 	 64.576499 
 540 	 64.611200 
 541 	 64.212136 
 542 	 64.611200 
 543 	 64.611200 
 544 	 64.212136 
 545 	 64.212136 
 546 	 64.212136 
 547 	 64.229486 
 548 	 64.229486 
 549 	 64.246837 
 550 	 64.246837 
 551 	 64.593849 
 552 	 64.524447 
 553 	 64.576499 
 554 	 64.576499 
 555 	 64.628551 
 556 	 64.524447 
 557 	 64.628551 
 558 	 64.212136 
 559 	 64.212136 
 560 	 64.229486 
 561 	 64.576499 
 562 	 64.246837 
 563 	 64.645901 
 564 	 64.177434 
 565 	 64.559148 
 566 	 64.524447 
 567 	 64.177434 
 568 	 64.194785 
 569 	 64.212136 
 570 	 64.524447 
 571 	 64.194785 
 572 	 64.611200 
 573 	 64.541797 
 574 	 64.194785 
 575 	 64.645901 
 576 	 64.194785 
 577 	 64.194785 
 578 	 64.177434 
 579 	 64.507096 
 580 	 64.160084 
 581 	 64.177434 
 582 	 64.160084 
 583 	 64.160084 
 584 	 64.437694 
 585 	 64.472395 
 586 	 64.142733 
 587 	 64.142733 
 588 	 64.160084 
 589 	 64.177434 
 590 	 64.142733 
 591 	 64.576499 
 592 	 64.125383 
 593 	 64.108032 
 594 	 64.489746 
 595 	 64.402992 
 596 	 64.090681 
 597 	 64.125383 
 598 	 64.090681 
 599 	 64.108032 
 600 	 64.385642 
 601 	 64.420343 
 602 	 64.090681 
 603 	 64.507096 
 604 	 64.090681 
 605 	 64.073331 
 606 	 64.073331 
 607 	 64.073331 
 608 	 64.402992 
 609 	 64.055980 
 610 	 64.472395 
 611 	 64.455044 
 612 	 64.021279 
 613 	 64.021279 
 614 	 64.021279 
 615 	 63.986578 
 616 	 64.368291 
 617 	 64.003928 
 618 	 64.402992 
 619 	 64.333590 
 620 	 63.951876 
 621 	 64.350941 
 622 	 63.969227 
 623 	 63.969227 
 624 	 64.316239 
 625 	 63.951876 
 626 	 63.934526 
 627 	 64.368291 
 628 	 63.934526 
 629 	 63.934526 
 630 	 63.934526 
 631 	 64.229486 
 632 	 63.917175 
 633 	 63.917175 
 634 	 63.917175 
 635 	 63.882474 
 636 	 63.917175 
 637 	 64.246837 
 638 	 63.865123 
 639 	 63.830422 
 640 	 63.899825 
 641 	 64.298889 
 642 	 64.177434 
 643 	 64.212136 
 644 	 63.795721 
 645 	 63.813071 
 646 	 63.830422 
 647 	 63.830422 
 648 	 64.142733 
 649 	 63.795721 
 650 	 63.778370 
 651 	 63.778370 
 652 	 63.813071 
 653 	 63.761020 
 654 	 64.125383 
 655 	 64.142733 
 656 	 63.726318 
 657 	 63.726318 
 658 	 63.726318 
 659 	 63.726318 
 660 	 64.125383 
 661 	 64.055980 
 662 	 64.038629 
 663 	 63.656916 
 664 	 63.674267 
 665 	 63.691617 
 666 	 64.038629 
 667 	 64.073331 
 668 	 63.622215 
 669 	 63.656916 
 670 	 64.125383 
 671 	 63.604864 
 672 	 63.570163 
 673 	 63.570163 
 674 	 63.934526 
 675 	 63.969227 
 676 	 63.587513 
 677 	 63.865123 
 678 	 63.552812 
 679 	 63.535462 
 680 	 63.761020 
 681 	 63.552812 
 682 	 63.500760 
 683 	 63.500760 
 684 	 63.483410 
 685 	 63.483410 
 686 	 63.830422 
 687 	 63.448708 
 688 	 63.847773 
 689 	 63.448708 
 690 	 63.431358 
 691 	 63.414007 
 692 	 63.743669 
 693 	 63.414007 
 694 	 63.414007 
 695 	 63.414007 
 696 	 63.708968 
 697 	 63.691617 
 698 	 63.361955 
 699 	 63.327254 
 700 	 63.691617 
 701 	 63.327254 
 702 	 63.292553 
 703 	 63.275202 
 704 	 63.275202 
 705 	 63.691617 
 706 	 63.604864 
 707 	 63.223150 
 708 	 63.223150 
 709 	 63.205800 
 710 	 63.604864 
 711 	 63.240501 
 712 	 63.500760 
 713 	 63.518111 
 714 	 63.153748 
 715 	 63.153748 
 716 	 63.466059 
 717 	 63.483410 
 718 	 63.535462 
 719 	 63.101696 
 720 	 63.136397 
 721 	 63.101696 
 722 	 63.448708 
 723 	 63.014943 
 724 	 63.483410 
 725 	 63.414007 
 726 	 62.997592 
 727 	 63.014943 
 728 	 63.344605 
 729 	 62.962891 
 730 	 63.309904 
 731 	 62.945541 
 732 	 62.928190 
 733 	 62.928190 
 734 	 62.910839 
 735 	 63.223150 
 736 	 62.876138 
 737 	 63.205800 
 738 	 63.257852 
 739 	 63.292553 
 740 	 62.876138 
 741 	 63.188449 
 742 	 63.171099 
 743 	 62.754684 
 744 	 63.136397 
 745 	 62.772034 
 746 	 62.737333 
 747 	 63.119047 
 748 	 62.754684 
 749 	 62.702632 
 750 	 63.014943 
 751 	 63.101696 
 752 	 62.667931 
 753 	 62.650580 
 754 	 63.014943 
 755 	 63.032294 
 756 	 62.598528 
 757 	 62.563827 
 758 	 63.014943 
 759 	 62.563827 
 760 	 62.997592 
 761 	 62.945541 
 762 	 62.546476 
 763 	 62.529126 
 764 	 62.858788 
 765 	 62.459723 
 766 	 62.772034 
 767 	 62.459723 
 768 	 62.407672 
 769 	 62.372970 
 770 	 62.390321 
 771 	 62.425022 
 772 	 62.789385 
 773 	 62.338269 
 774 	 62.355620 
 775 	 62.320918 
 776 	 62.685281 
 777 	 62.303568 
 778 	 62.581178 
 779 	 62.598528 
 780 	 62.268867 
 781 	 62.251516 
 782 	 62.529126 
 783 	 62.216815 
 784 	 62.164763 
 785 	 62.182114 
 786 	 62.598528 
 787 	 62.130062 
 788 	 62.563827 
 789 	 62.477074 
 790 	 62.078010 
 791 	 62.650580 
 792 	 62.043309 
 793 	 62.407672 
 794 	 62.043309 
 795 	 62.286217 
 796 	 62.407672 
 797 	 61.991257 
 798 	 61.973906 
 799 	 61.956556 
 800 	 62.251516 
 801 	 61.921854 
 802 	 61.887153 
 803 	 62.199464 
 804 	 61.869802 
 805 	 61.869802 
 806 	 61.835101 
 807 	 62.147412 
 808 	 61.800400 
 809 	 61.765699 
 810 	 62.216815 
 811 	 61.748348 
 812 	 62.060659 
 813 	 62.095360 
 814 	 61.730998 
 815 	 61.696296 
 816 	 62.078010 
 817 	 61.626894 
 818 	 62.025958 
 819 	 61.609543 
 820 	 61.956556 
 821 	 61.904504 
 822 	 61.574842 
 823 	 61.574842 
 824 	 61.956556 
 825 	 61.540141 
 826 	 61.939205 
 827 	 61.869802 
 828 	 61.470738 
 829 	 61.765699 
 830 	 61.436037 
 831 	 61.956556 
 832 	 61.748348 
