Period 	 T100 	 T0 
120 	 3.740000 	 2.747000 
Point Number 	 Temperature 
0 	 51.997309 
 1 	 51.615596 
 2 	 51.927907 
 3 	 52.014660 
 4 	 51.910556 
 5 	 51.979958 
 6 	 51.632947 
 7 	 51.563544 
 8 	 51.910556 
 9 	 51.979958 
 10 	 51.979958 
 11 	 51.962608 
 12 	 51.962608 
 13 	 51.580895 
 14 	 51.615596 
 15 	 51.615596 
 16 	 51.580895 
 17 	 51.962608 
 18 	 51.580895 
 19 	 51.598245 
 20 	 51.997309 
 21 	 51.910556 
 22 	 51.875855 
 23 	 51.979958 
 24 	 51.580895 
 25 	 51.945257 
 26 	 51.997309 
 27 	 51.615596 
 28 	 51.598245 
 29 	 51.598245 
 30 	 51.615596 
 31 	 51.598245 
 32 	 51.580895 
 33 	 51.997309 
 34 	 52.118763 
 35 	 51.910556 
 36 	 51.875855 
 37 	 51.598245 
 38 	 51.546194 
 39 	 51.858504 
 40 	 51.598245 
 41 	 51.580895 
 42 	 51.997309 
 43 	 51.563544 
 44 	 51.580895 
 45 	 51.927907 
 46 	 51.563544 
 47 	 51.563544 
 48 	 51.893205 
 49 	 51.979958 
 50 	 51.563544 
 51 	 51.841154 
 52 	 51.858504 
 53 	 51.528843 
 54 	 51.528843 
 55 	 51.546194 
 56 	 51.598245 
 57 	 51.511492 
 58 	 51.528843 
 59 	 51.945257 
 60 	 51.858504 
 61 	 51.858504 
 62 	 51.511492 
 63 	 51.823803 
 64 	 51.702349 
 65 	 51.841154 
 66 	 51.927907 
 67 	 51.511492 
 68 	 51.494142 
 69 	 51.910556 
 70 	 51.494142 
 71 	 51.476791 
 72 	 51.476791 
 73 	 51.459441 
 74 	 51.823803 
 75 	 51.459441 
 76 	 51.789102 
 77 	 51.789102 
 78 	 51.442090 
 79 	 51.459441 
 80 	 51.442090 
 81 	 51.789102 
 82 	 51.754401 
 83 	 51.702349 
 84 	 51.823803 
 85 	 51.459441 
 86 	 51.771751 
 87 	 51.442090 
 88 	 51.754401 
 89 	 51.424739 
 90 	 51.771751 
 91 	 51.737050 
 92 	 51.823803 
 93 	 51.771751 
 94 	 51.806453 
 95 	 51.789102 
 96 	 51.754401 
 97 	 51.754401 
 98 	 51.390038 
 99 	 51.511492 
 100 	 51.372688 
 101 	 51.355337 
 102 	 51.372688 
 103 	 51.771751 
 104 	 51.719700 
 105 	 51.650297 
 106 	 51.337987 
 107 	 51.303285 
 108 	 51.719700 
 109 	 51.667648 
 110 	 51.667648 
 111 	 51.303285 
 112 	 51.737050 
 113 	 51.823803 
 114 	 51.719700 
 115 	 51.615596 
 116 	 51.251234 
 117 	 51.667648 
 118 	 51.684998 
 119 	 51.598245 
 120 	 51.285935 
 121 	 51.268584 
 122 	 51.632947 
 123 	 51.199182 
 124 	 51.598245 
 125 	 51.199182 
 126 	 51.598245 
 127 	 51.546194 
 128 	 51.199182 
 129 	 51.216532 
 130 	 51.233883 
 131 	 51.199182 
 132 	 51.181831 
 133 	 51.199182 
 134 	 51.164481 
 135 	 51.147130 
 136 	 51.546194 
 137 	 51.580895 
 138 	 51.199182 
 139 	 51.129779 
 140 	 51.528843 
 141 	 51.147130 
 142 	 51.476791 
 143 	 51.459441 
 144 	 51.112429 
 145 	 51.129779 
 146 	 51.095078 
 147 	 51.112429 
 148 	 51.390038 
 149 	 51.077728 
 150 	 51.112429 
 151 	 51.095078 
 152 	 51.476791 
 153 	 51.459441 
 154 	 51.390038 
 155 	 51.442090 
 156 	 51.025676 
 157 	 50.990975 
 158 	 51.355337 
 159 	 51.008325 
 160 	 50.990975 
 161 	 51.303285 
 162 	 50.973624 
 163 	 50.990975 
 164 	 51.285935 
 165 	 51.043026 
 166 	 50.938923 
 167 	 50.938923 
 168 	 51.233883 
 169 	 50.904222 
 170 	 50.921572 
 171 	 51.251234 
 172 	 51.233883 
 173 	 50.852170 
 174 	 51.285935 
 175 	 50.852170 
 176 	 51.216532 
 177 	 50.869521 
 178 	 51.181831 
 179 	 51.129779 
 180 	 51.147130 
 181 	 50.817469 
 182 	 50.817469 
 183 	 51.147130 
 184 	 50.800118 
 185 	 51.077728 
 186 	 51.112429 
 187 	 51.181831 
 188 	 50.765417 
 189 	 51.077728 
 190 	 50.730716 
 191 	 50.713365 
 192 	 50.782768 
 193 	 50.990975 
 194 	 50.696015 
 195 	 50.678664 
 196 	 50.973624 
 197 	 50.990975 
 198 	 50.661313 
 199 	 51.025676 
 200 	 50.626612 
 201 	 51.008325 
 202 	 50.609262 
 203 	 50.852170 
 204 	 50.591911 
 205 	 50.609262 
 206 	 51.008325 
 207 	 50.904222 
 208 	 50.782768 
 209 	 50.557210 
 210 	 50.539859 
 211 	 50.886871 
 212 	 50.904222 
 213 	 50.522509 
 214 	 50.852170 
 215 	 50.487808 
 216 	 50.591911 
 217 	 50.470457 
 218 	 50.869521 
 219 	 50.869521 
 220 	 50.418405 
 221 	 50.435756 
 222 	 50.956273 
 223 	 50.817469 
 224 	 50.383704 
 225 	 50.661313 
 226 	 50.366353 
 227 	 50.349003 
 228 	 50.349003 
 229 	 50.748066 
 230 	 50.661313 
 231 	 50.661313 
 232 	 50.678664 
 233 	 50.609262 
 234 	 50.696015 
 235 	 50.609262 
 236 	 50.262250 
 237 	 50.279600 
 238 	 50.262250 
 239 	 50.678664 
 240 	 50.210198 
 241 	 50.210198 
 242 	 50.591911 
 243 	 50.158146 
 244 	 50.192848 
 245 	 50.192848 
 246 	 50.574560 
 247 	 50.522509 
 248 	 50.123445 
 249 	 50.106095 
 250 	 50.522509 
 251 	 50.401055 
 252 	 50.123445 
 253 	 50.088744 
 254 	 50.522509 
 255 	 50.435756 
 256 	 50.071393 
 257 	 50.019342 
 258 	 50.019342 
 259 	 50.036692 
 260 	 50.383704 
 261 	 50.349003 
 262 	 50.019342 
 263 	 49.984640 
 264 	 50.366353 
 265 	 50.279600 
 266 	 49.967290 
 267 	 50.349003 
 268 	 50.331652 
 269 	 50.244899 
 270 	 50.314302 
 271 	 49.897887 
 272 	 50.279600 
 273 	 50.175497 
 274 	 49.915238 
 275 	 49.863186 
 276 	 50.244899 
 277 	 50.244899 
 278 	 49.845836 
 279 	 49.828485 
 280 	 50.106095 
 281 	 49.811135 
 282 	 50.088744 
